City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Pisco,PE,71.6,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
261,Bengkulu,ID,78.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
264,Bosaso,SO,73.13,clear sky,11.2842,49.1816,Red Sea Hotel
265,Tual,ID,83.88,broken clouds,-5.6667,132.75,Grand Vilia Hotel
266,Alofi,NU,87.8,broken clouds,-19.0595,-169.9187,Taloa Heights
269,Rio Gallegos,AR,62.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
270,Impfondo,CG,73.53,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
271,Isangel,VU,84.2,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
273,Ingraj Bazar,IN,55.49,clear sky,25.0,88.15,Hotel Samrat Malda
275,Santa Quiteria,BR,77.94,clear sky,-4.3319,-40.1567,Tahen Hotel
276,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
280,Panalingaan,PH,82.04,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
281,San Patricio,US,63.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
284,Diego De Almagro,CL,59.72,clear sky,-26.3667,-70.05,hotel luna del desierto
285,George,ZA,60.8,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
290,Tuatapere,NZ,63.72,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
291,Itarantim,BR,72.66,overcast clouds,-15.6597,-40.0656,Pousada Buterfly
294,Coihaique,CL,66.2,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
296,Ladario,BR,73.38,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
298,Yulara,AU,87.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
308,Harper,LR,79.2,clear sky,4.375,-7.7169,Screensaver
311,Benedita,PT,55.99,few clouds,39.4247,-8.97,Residência DonaMaria
312,Byron Bay,AU,80.6,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
313,Myitkyina,MM,56.84,broken clouds,25.3833,97.4,Shwe Phyu Hotel
314,Cidreira,BR,70.52,clear sky,-30.1811,-50.2056,Hotel Castelo
315,Balclutha,NZ,64.99,light rain,-46.2339,169.75,Hotel South Otago
316,Dingle,PH,76.05,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
317,Trairi,BR,79.84,clear sky,-3.2778,-39.2689,janelas do mar
320,Natal,BR,80.6,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
321,Sungaipenuh,ID,70.54,moderate rain,-2.0833,101.3833,Hotel Jaya Wisata 2
324,Lichtenburg,ZA,60.12,clear sky,-26.151999999999997,26.1597,Kennzy Guest House
326,Urucara,BR,76.73,overcast clouds,-2.5364,-57.76,Hotel japa
329,Tulum,MX,79.0,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
330,Sao Joao Da Barra,BR,71.28,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
332,Riyadh,SA,55.4,clear sky,24.6877,46.7219,InterContinental Riyadh
334,Idah,NG,75.38,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
337,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
338,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
342,Hirara,JP,71.6,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
343,Lady Lake,US,64.4,clear sky,28.9175,-81.9229,Holiday Inn Express & Suites the Villages
345,Lagoa,PT,57.79,scattered clouds,39.05,-27.9833,Casa Das Faias
346,Mount Isa,AU,86.0,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
347,Richards Bay,ZA,73.71,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
349,Pochutla,MX,80.01,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
351,Paita,PE,75.74,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
354,Manavalakurichi,IN,78.8,mist,8.1333,77.3,Udaya Boys Hostel
