City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Walvis Bay,NA,-22.9575,14.5053,64.0,88,95,12.66,overcast clouds
113,Taloqan,AF,36.7361,69.5345,51.66,50,100,1.48,overcast clouds
114,Bredasdorp,ZA,-34.5322,20.0403,57.2,82,39,5.75,scattered clouds
115,Hermanus,ZA,-34.4187,19.2345,55.0,91,0,1.57,clear sky
116,Kokstad,ZA,-30.5472,29.4241,62.22,94,75,2.1,broken clouds
117,Port Blair,IN,11.6667,92.75,77.52,79,1,12.57,clear sky
118,Saint Anthony,US,45.0205,-93.218,-2.2,46,90,8.05,overcast clouds
119,Zykovo,RU,55.9519,93.1461,30.2,74,40,4.47,scattered clouds
120,Saskylakh,RU,71.9167,114.0833,-36.69,79,44,12.21,scattered clouds
121,Saldanha,ZA,-33.0117,17.9442,62.6,72,0,9.22,clear sky
122,Nexo,DK,55.0607,15.1306,26.6,63,75,21.85,light snow
123,Abalak,RU,58.1286,68.5944,-5.78,89,90,9.64,overcast clouds
124,Mugur-Aksy,RU,50.35,90.5,7.72,84,58,5.7,broken clouds
125,Ust-Nera,RU,64.5667,143.2,-3.91,80,89,8.28,overcast clouds
126,Kahului,US,20.8947,-156.47,77.0,53,20,13.8,few clouds
127,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,40,9.22,snow
128,Mar Del Plata,AR,-38.0023,-57.5575,62.01,82,90,13.8,overcast clouds
129,Necochea,AR,-38.5473,-58.7368,59.0,74,23,12.19,few clouds
130,Payo,ID,-3.7508,103.6372,76.33,89,87,2.44,overcast clouds
131,Matagami,CA,49.7502,-77.6328,-0.4,71,90,6.91,overcast clouds
132,Aklavik,CA,68.2191,-135.0107,-23.8,69,90,16.11,snow
133,Den Helder,NL,52.9599,4.7593,25.0,80,90,33.38,light snow
134,Hami,CN,42.8,93.45,27.91,80,34,2.13,scattered clouds
135,Nishihara,JP,26.1842,127.7558,68.0,48,20,11.5,few clouds
136,Silver City,US,32.7701,-108.2803,54.0,16,1,11.5,clear sky
137,Sergeyevka,KZ,53.88,67.4158,3.97,93,76,12.73,broken clouds
138,Dikson,RU,73.5069,80.5464,-32.58,85,90,15.14,overcast clouds
139,Barrow,US,71.2906,-156.7887,-27.4,68,1,9.22,clear sky
140,Nyurba,RU,63.2842,118.3319,-1.93,92,100,5.19,overcast clouds
141,Abha,SA,18.2164,42.5053,51.8,53,0,5.75,clear sky
142,Arvi,IN,20.9833,78.2333,56.25,35,13,5.08,few clouds
143,Abnub,EG,27.2696,31.1511,51.8,82,0,4.61,clear sky
144,Ancud,CL,-41.8697,-73.8203,64.99,73,0,0.87,clear sky
145,Mananara,MG,-16.1667,49.7667,75.36,89,82,1.95,broken clouds
146,Margate,GB,51.3813,1.3862,32.0,76,100,8.01,light snow
147,Esperance,AU,-33.8667,121.9,78.8,53,24,20.71,few clouds
148,Dudinka,RU,69.4058,86.1778,-25.19,82,93,12.77,overcast clouds
149,Qaanaaq,GL,77.484,-69.3632,15.8,85,100,6.4,overcast clouds
150,Mayumba,GA,-3.432,10.6554,78.31,85,100,4.05,light rain
151,Nanortalik,GL,60.1432,-45.2371,31.59,87,87,17.83,overcast clouds
152,Kruisfontein,ZA,-34.0033,24.7314,63.0,89,100,1.01,overcast clouds
153,Kirakira,SB,-10.4544,161.9205,85.24,71,7,8.97,clear sky
154,Arlit,NE,18.7369,7.3853,66.0,21,99,4.56,overcast clouds
155,Batagay-Alyta,RU,67.8006,130.4114,-30.23,76,0,2.42,clear sky
156,Sisimiut,GL,66.9395,-53.6735,23.83,79,7,15.93,clear sky
157,Kaduna,NG,10.5222,7.4383,67.21,24,32,7.61,scattered clouds
158,Hasaki,JP,35.7333,140.8333,44.01,49,75,10.36,broken clouds
159,Fairbanks,US,64.8378,-147.7164,-11.0,76,1,2.51,clear sky
160,Ulladulla,AU,-35.35,150.4667,68.0,68,75,9.22,broken clouds
161,Goundam,ML,16.4145,-3.6708,68.02,23,97,10.71,overcast clouds
162,Tocopilla,CL,-22.092,-70.1979,70.03,69,44,6.93,scattered clouds
163,Keti Bandar,PK,24.1447,67.4497,65.44,47,0,7.63,clear sky
164,Constitucion,CL,-35.3333,-72.4167,57.87,90,9,6.49,clear sky
165,Kuzino,RU,57.0224,59.4412,-7.4,89,100,12.88,light snow
166,Islamkot,PK,24.6997,70.177,59.07,34,0,5.19,clear sky
167,Pacific Grove,US,36.6177,-121.9166,57.0,82,1,3.44,clear sky
168,Wanning,CN,18.8003,110.3967,70.81,86,97,4.83,overcast clouds
169,Alice Springs,AU,-23.7,133.8833,87.8,22,0,13.8,clear sky
170,Namatanai,PG,-3.6667,152.4333,85.66,68,45,5.7,light rain
171,Wajima,JP,37.4,136.9,30.2,80,75,5.75,light snow
172,Ribeira Grande,PT,38.5167,-28.7,58.91,79,4,14.23,clear sky
173,Bubaque,GW,11.2833,-15.8333,79.83,61,0,5.7,clear sky
174,Vardo,NO,70.3705,31.1107,24.57,92,98,27.63,light snow
175,Oksfjord,NO,70.2396,22.3479,26.01,79,90,2.3,light snow
176,Hadrut,AZ,39.52,47.0318,43.5,61,91,2.33,overcast clouds
177,Tremedal,BR,-14.9758,-41.4108,70.23,88,100,1.72,overcast clouds
178,Kaitangata,NZ,-46.2817,169.8464,64.99,83,100,7.0,overcast clouds
179,Toora-Khem,RU,52.4675,96.11,4.59,91,100,2.13,overcast clouds
180,Henties Bay,NA,-22.116,14.2845,64.0,91,97,1.99,overcast clouds
181,Lom Sak,TH,16.7798,101.2422,68.0,77,15,2.26,few clouds
182,Dicabisagan,PH,17.0818,122.4157,78.15,77,11,4.36,few clouds
183,Surt,LY,31.2089,16.5887,69.84,27,100,17.11,overcast clouds
184,Bac Lieu,VN,9.285,105.7244,78.73,74,0,17.07,clear sky
185,Freilassing,DE,47.85,12.9833,39.2,81,75,10.36,broken clouds
186,Gandzak,AM,40.3147,45.1114,26.6,86,100,9.31,overcast clouds
187,Mareeba,AU,-17.0,145.4333,91.99,79,90,6.91,overcast clouds
188,Nambutalai,IN,9.7167,79.0,72.07,78,60,14.34,broken clouds
189,Itoman,JP,26.1247,127.6694,68.0,56,20,11.5,few clouds
190,Codrington,AU,-38.2667,141.9667,60.26,67,100,13.96,overcast clouds
191,Skagen,DK,57.7209,10.5839,19.0,84,8,15.99,clear sky
192,Khatanga,RU,71.9667,102.5,-28.08,79,12,11.5,few clouds
193,Tessalit,ML,20.1986,1.0114,58.8,32,100,10.45,overcast clouds
194,Muros,ES,42.7762,-9.0603,54.0,86,0,3.0,clear sky
195,Kodiak,US,57.79,-152.4072,35.6,55,1,3.44,clear sky
196,Coquimbo,CL,-29.9533,-71.3436,60.8,77,0,6.91,clear sky
197,Leningradskiy,RU,69.3833,178.4167,-15.14,85,0,7.96,clear sky
198,Novyy Yarychiv,UA,49.9044,24.3052,17.6,100,75,13.42,light snow
199,Erzin,TR,36.9559,36.2,53.6,87,40,10.36,scattered clouds
200,Puerto Del Rosario,ES,28.5004,-13.8627,60.8,72,90,5.75,overcast clouds
201,Ghanzi,BW,-21.5667,21.7833,64.44,96,100,9.46,light rain
202,Ola,RU,59.5833,151.2833,14.09,86,93,19.57,overcast clouds
203,Elbistan,TR,38.2059,37.1983,29.77,90,100,0.89,overcast clouds
204,Nouadhibou,MR,20.931,-17.0347,62.6,77,0,19.57,clear sky
205,Chokurdakh,RU,70.6333,147.9167,-15.34,88,100,7.94,overcast clouds
206,Bull Savanna,JM,17.8868,-77.5902,72.73,80,0,10.29,clear sky
207,Lorengau,PG,-2.0226,147.2712,84.11,75,100,4.85,overcast clouds
208,Airai,TL,-8.9266,125.4092,69.48,89,100,3.58,overcast clouds
209,College,US,64.8569,-147.8028,-11.0,76,20,2.84,few clouds
210,Lincoln,US,40.8,-96.667,3.99,78,90,11.5,light snow
211,Victoria,HK,22.2855,114.1577,69.01,82,7,1.01,clear sky
212,Soure,BR,-0.7167,-48.5233,78.76,87,10,10.18,clear sky
213,Beroroha,MG,-21.6667,45.1667,74.62,86,100,2.15,overcast clouds
214,Elk City,US,35.412,-99.4043,35.6,100,90,9.22,overcast clouds
215,Vila Velha,BR,-20.3297,-40.2925,69.8,94,90,5.75,overcast clouds
216,Padang,ID,-0.9492,100.3543,78.8,83,20,1.14,few clouds
217,Saint-Francois,FR,46.4154,3.9054,37.99,87,90,4.61,overcast clouds
218,San Cristobal,VE,7.7669,-72.225,67.78,86,100,1.14,overcast clouds
219,Verkhoyansk,RU,67.5447,133.385,-30.98,81,42,2.13,scattered clouds
220,Comodoro Rivadavia,AR,-45.8667,-67.5,59.0,67,0,14.97,clear sky
221,Qaqortoq,GL,60.7167,-46.0333,37.4,30,100,43.73,overcast clouds
222,Rawson,AR,-43.3002,-65.1023,58.12,59,0,13.51,clear sky
223,Sahuaripa,MX,29.05,-109.2333,67.78,24,0,6.13,clear sky
224,Umarizal,BR,-5.9906,-37.8144,80.1,67,71,8.93,broken clouds
225,Fort Nelson,CA,58.8053,-122.7002,-16.6,69,90,10.36,light snow
226,Redmond,US,47.674,-122.1215,44.01,81,100,0.07,light rain
227,Adrar,MR,20.5022,-10.0711,56.59,37,0,8.97,clear sky
228,Luanda,AO,-8.8368,13.2343,78.8,78,75,5.75,broken clouds
229,Santiago Del Estero,AR,-27.7951,-64.2615,81.0,52,4,5.99,clear sky
230,Nome,US,64.5011,-165.4064,1.99,77,1,5.01,clear sky
231,San Jose,US,37.3394,-121.895,64.99,45,75,10.36,broken clouds
232,Campbell River,CA,50.0163,-125.2446,39.99,52,20,10.36,few clouds
233,Paka,MY,4.6374,103.4368,77.0,94,40,3.44,scattered clouds
234,Beringovskiy,RU,63.05,179.3167,5.43,94,100,16.84,snow
235,Cananeia,BR,-25.0147,-47.9267,72.25,70,0,4.03,clear sky
236,Puerto Carreno,CO,6.189,-67.4859,86.59,51,100,11.5,overcast clouds
237,Hobart,AU,-42.8794,147.3294,64.4,48,75,8.05,broken clouds
238,Tavda,RU,58.0425,65.2726,-7.49,88,99,9.69,overcast clouds
239,Guerrero Negro,MX,27.9769,-114.0611,66.54,42,0,13.13,clear sky
240,Valenza,IT,45.0141,8.6414,43.0,99,100,10.49,overcast clouds
241,Kavaratti,IN,10.5669,72.642,81.09,72,100,8.9,overcast clouds
242,Tres Lagoas,BR,-20.7511,-51.6783,70.61,79,0,6.13,clear sky
243,Tadine,NC,-21.55,167.8833,80.98,72,100,4.09,light rain
244,Buinsk,RU,54.95,48.2833,-2.2,71,75,13.42,light snow
245,Kismayo,SO,-0.3582,42.5454,76.78,80,0,16.55,clear sky
246,Maneadero,MX,31.7167,-116.5667,55.99,87,0,1.99,clear sky
247,Kavieng,PG,-2.5744,150.7967,85.1,70,8,7.2,clear sky
248,Lebu,CL,-37.6167,-73.65,58.86,94,100,0.92,overcast clouds
249,Hofn,IS,64.2539,-15.2082,36.61,88,100,16.93,overcast clouds
250,Faya,SA,18.3851,42.4509,51.8,53,0,5.75,clear sky
251,Seoul,KR,37.5683,126.9778,28.4,29,0,14.97,clear sky
252,Potchefstroom,ZA,-26.7167,27.1,59.85,90,0,5.17,clear sky
253,Anadyr,RU,64.75,177.4833,8.6,61,100,8.95,snow
254,Bethel,US,41.3712,-73.414,28.99,86,90,4.61,light snow
255,Manyana,BW,-23.4,21.7167,65.8,88,71,5.59,broken clouds
256,Piacabucu,BR,-10.4056,-36.4344,78.51,79,100,12.62,overcast clouds
257,San Lorenzo,PY,-25.3333,-57.5333,73.4,78,0,4.07,clear sky
258,Ballina,AU,-28.8667,153.5667,80.6,61,40,19.57,scattered clouds
259,Kadyy,RU,57.787,43.1903,-20.31,86,32,7.25,scattered clouds
260,Pisco,PE,-13.7,-76.2167,71.6,83,75,8.05,broken clouds
261,Bengkulu,ID,-3.8004,102.2655,78.64,74,95,4.56,overcast clouds
262,Roald,NO,62.5833,6.1333,23.0,54,0,13.8,clear sky
263,Novikovo,RU,51.1537,37.8879,3.92,92,94,6.2,overcast clouds
264,Bosaso,SO,11.2842,49.1816,73.13,81,1,2.1,clear sky
265,Tual,ID,-5.6667,132.75,83.88,78,84,18.66,broken clouds
266,Alofi,NU,-19.0595,-169.9187,87.8,66,75,11.5,broken clouds
267,Vestmanna,FO,62.1564,-7.1664,35.6,64,75,14.97,broken clouds
268,Shelburne,CA,44.0787,-80.2041,9.0,89,93,10.71,overcast clouds
269,Rio Gallegos,AR,-51.6226,-69.2181,62.6,48,0,17.27,clear sky
270,Impfondo,CG,1.6381,18.0667,73.53,70,100,0.69,overcast clouds
271,Isangel,VU,-19.55,169.2667,84.2,74,40,6.91,scattered clouds
272,Severo-Kurilsk,RU,50.6789,156.125,25.18,91,59,18.52,broken clouds
273,Ingraj Bazar,IN,25.0,88.15,55.49,64,0,6.49,clear sky
274,Povenets,RU,62.8487,34.8262,-5.28,90,81,5.41,broken clouds
275,Santa Quiteria,BR,-4.3319,-40.1567,77.94,67,0,3.47,clear sky
276,Mahebourg,MU,-20.4081,57.7,78.8,83,40,5.75,light rain
277,Moose Factory,CA,51.2585,-80.6094,-16.6,76,75,4.61,broken clouds
278,Agadir,MA,30.4202,-9.5982,48.2,100,0,6.91,clear sky
279,Volchansk,RU,59.9378,60.081,-12.28,90,100,5.93,overcast clouds
280,Panalingaan,PH,8.7842,117.4231,82.04,75,100,8.79,overcast clouds
281,San Patricio,US,28.017,-97.5169,63.0,67,75,12.66,broken clouds
282,Altay,CN,47.8667,88.1167,21.06,81,66,3.49,broken clouds
283,Ostersund,SE,63.1792,14.6357,15.8,86,90,6.91,overcast clouds
284,Diego De Almagro,CL,-26.3667,-70.05,59.72,53,0,1.7,clear sky
285,George,ZA,-33.963,22.4617,60.8,88,0,5.75,clear sky
286,Hovd,MN,48.0056,91.6419,12.16,86,100,1.34,overcast clouds
287,Blackpool,GB,53.8167,-3.05,35.01,74,89,8.01,overcast clouds
288,Komsomolskiy,UZ,40.4272,71.7189,39.2,81,79,2.3,mist
289,Westport,US,41.1415,-73.3579,28.4,86,1,6.91,clear sky
290,Tuatapere,NZ,-46.1333,167.6833,63.72,76,100,4.59,light rain
291,Itarantim,BR,-15.6597,-40.0656,72.66,93,100,3.0,overcast clouds
292,Vestmannaeyjar,IS,63.4427,-20.2734,38.91,75,100,25.3,overcast clouds
293,Pleasantville,US,39.3898,-74.524,34.0,100,75,5.75,broken clouds
294,Coihaique,CL,-45.5752,-72.0662,66.2,48,0,8.05,clear sky
295,Thinadhoo,MV,0.5333,72.9333,81.63,70,89,8.39,overcast clouds
296,Ladario,BR,-19.0047,-57.6017,73.38,49,0,4.0,clear sky
297,Kashary,RU,49.04,41.0056,13.73,79,98,4.21,light snow
298,Yulara,AU,-25.2406,130.9889,87.8,20,0,18.41,clear sky
299,Manchester,GB,53.4809,-2.2374,35.01,64,90,13.8,overcast clouds
300,Touros,BR,-5.1989,-35.4608,80.6,78,20,12.66,few clouds
301,Jumla,NP,29.2747,82.1838,34.93,56,0,6.06,clear sky
